Exact Age,Death Probability Male,Number of Lives Male,Life Expectency Male,Death Probability Female,Number of Lives Female,Life Expectancy Female
0,0.006304,100000,75.97,0.005229,100000,80.96
1,0.000426,99370,75.45,0.000342,99477,80.39
2,0.00029,99327,74.48,0.000209,99443,79.42
3,0.000229,99298,73.5,0.000162,99422,78.43
4,0.000162,99276,72.52,0.000143,99406,77.45
5,0.000146,99260,71.53,0.000125,99392,76.46
6,0.000136,99245,70.54,0.000113,99379,75.47
7,0.000127,99232,69.55,0.000104,99368,74.47
8,0.000115,99219,68.56,0.000097,99358,73.48
9,0.000103,99208,67.57,0.000093,99348,72.49
10,0.000097,99197,66.57,0.000092,99339,71.5
11,0.000109,99188,65.58,0.000098,99330,70.5
12,0.000151,99177,64.59,0.000113,99320,69.51
13,0.000232,99162,63.6,0.000138,99309,68.52
14,0.000343,99139,62.61,0.000172,99295,67.53
15,0.000465,99105,61.63,0.000211,99278,66.54
16,0.000588,99059,60.66,0.000251,99257,65.55
17,0.00072,99001,59.7,0.000293,99232,64.57
18,0.000858,98929,58.74,0.000336,99203,63.59
19,0.000999,98845,57.79,0.000379,99170,62.61
20,0.001146,98746,56.85,0.000425,99132,61.63
21,0.001288,98633,55.91,0.000472,99090,60.66
22,0.001407,98506,54.98,0.000515,99044,59.69
23,0.001494,98367,54.06,0.000551,98993,58.72
24,0.001556,98220,53.14,0.000582,98938,57.75
25,0.00161,98067,52.22,0.000612,98880,56.78
26,0.001665,97910,51.31,0.000646,98820,55.82
27,0.001717,97746,50.39,0.000684,98756,54.85
28,0.001767,97579,49.48,0.000729,98689,53.89
29,0.001817,97406,48.56,0.000779,98617,52.93
30,0.001865,97229,47.65,0.000833,98540,51.97
31,0.001911,97048,46.74,0.000887,98458,51.01
32,0.00196,96862,45.83,0.000939,98370,50.06
33,0.002014,96672,44.92,0.000988,98278,49.1
34,0.002071,96478,44.01,0.001034,98181,48.15
35,0.002138,96278,43.1,0.001085,98079,47.2
36,0.002211,96072,42.19,0.001143,97973,46.25
37,0.002279,95860,41.28,0.001205,97861,45.3
38,0.002342,95641,40.37,0.001271,97743,44.36
39,0.002405,95417,39.47,0.001345,97619,43.41
40,0.002482,95188,38.56,0.001429,97488,42.47
41,0.002583,94951,37.65,0.001524,97348,41.53
42,0.00271,94706,36.75,0.00163,97200,40.59
43,0.00287,94450,35.85,0.001748,97042,39.66
44,0.003064,94178,34.95,0.001881,96872,38.73
45,0.003285,93890,34.06,0.002029,96690,37.8
46,0.003538,93581,33.17,0.002195,96494,36.88
47,0.003834,93250,32.28,0.002386,96282,35.96
48,0.004178,92893,31.41,0.002605,96052,35.04
