K,Moneyness,IV
300,0.691690492,0.3073
310,0.714746841,0.2979
320,0.737803191,0.2883
330,0.760859541,0.2792
340,0.78391589,0.2703
350,0.80697224,0.2613
360,0.83002859,0.2524
370,0.85308494,0.2433
380,0.876141289,0.2343
390,0.899197639,0.2251
400,0.922253989,0.2155
405,0.933782164,0.2108
410,0.945310338,0.206
415,0.956838513,0.2014
420,0.968366688,0.1967
425,0.979894863,0.192
430,0.991423038,0.1874
434,1.000645578,0.1646
444,1.023701928,0.1557
454,1.046758277,0.1473
464,1.069814627,0.1401
475,1.095176612,0.1337
485,1.118232961,0.1301
495,1.141289311,0.1284
505,1.164345661,0.128
515,1.187402011,0.1278
525,1.21045836,0.1282
535,1.23351471,0.1289
545,1.25657106,0.1296
555,1.279627409,0.1308
565,1.302683759,0.132
575,1.325740109,0.1329
